,model,task,split,commit,dataset_sample_dataset_id,dataset_sample_sample_id,score,error
12,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,12,1.0,
13,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,13,1.0,
14,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,14,1.0,
15,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,15,1.0,
16,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,16,1.0,
17,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,17,1.0,
18,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,18,1.0,
19,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,19,1.0,
20,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,20,1.0,
21,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,21,1.0,
22,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,22,1.0,
23,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,23,1.0,
24,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,24,1.0,
25,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,25,1.0,
26,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,26,1.0,
27,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,27,0.0,
28,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,28,1.0,
29,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,29,1.0,
30,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,30,1.0,
31,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,31,1.0,
32,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,32,1.0,
33,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,33,1.0,
34,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,34,1.0,
35,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,35,1.0,
36,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,36,1.0,
37,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,37,1.0,
38,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,38,1.0,
39,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,39,0.0,
40,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,40,1.0,
41,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,41,1.0,
42,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,42,1.0,
43,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,43,0.0,
44,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,44,1.0,
45,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,45,1.0,
46,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,46,1.0,
47,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,47,1.0,
48,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,48,1.0,
49,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,49,1.0,
50,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,50,1.0,
51,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,51,1.0,
52,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,52,1.0,
53,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,53,1.0,
54,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,54,1.0,
55,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,55,0.0,
56,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,56,1.0,
57,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,57,1.0,
58,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,58,1.0,
59,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,59,1.0,
60,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,60,0.0,
61,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,61,1.0,
62,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,62,0.0,
63,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,63,1.0,
64,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,64,1.0,
65,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,65,1.0,
66,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,66,1.0,
67,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,67,1.0,
68,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,68,0.0,
69,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,69,1.0,
70,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,70,1.0,
71,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,71,1.0,
72,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,72,1.0,
73,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,73,1.0,
74,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,74,0.0,
75,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,75,1.0,
76,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,76,1.0,
77,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,77,1.0,
78,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,78,1.0,
79,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,79,0.0,
80,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,80,0.0,
81,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,81,1.0,
82,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,82,0.0,
83,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,83,1.0,
84,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,84,1.0,
85,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,85,1.0,
86,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,86,1.0,
87,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,87,1.0,
88,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,88,1.0,
89,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,89,1.0,
90,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,90,1.0,
91,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,91,1.0,
92,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,92,1.0,
93,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,93,1.0,
94,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,94,1.0,
95,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,95,1.0,
96,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,96,1.0,
97,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,97,0.0,
98,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,98,0.0,
99,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,99,1.0,
100,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,100,0.0,
101,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,101,0.0,
102,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,102,1.0,
103,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,103,0.0,
104,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,104,1.0,
105,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,105,1.0,
106,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,106,1.0,
107,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,107,0.0,
108,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,108,1.0,
109,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,109,1.0,
110,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,110,1.0,
111,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,111,1.0,
112,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,112,1.0,
113,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,113,1.0,
114,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,114,1.0,
115,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,115,1.0,
116,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,116,1.0,
117,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,117,1.0,
118,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,118,1.0,
119,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,119,0.0,
120,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,120,1.0,
121,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,121,1.0,
122,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,122,1.0,
123,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,123,1.0,
124,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,124,0.0,
125,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,125,1.0,
126,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,126,1.0,
127,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,127,0.0,
128,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,128,1.0,
129,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,129,1.0,
130,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,130,0.0,
131,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,131,1.0,
132,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,132,1.0,
133,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,133,1.0,
134,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,134,1.0,
135,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,135,1.0,
136,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,136,1.0,
137,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,137,1.0,
138,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,138,1.0,
139,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,139,1.0,
140,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,140,1.0,
141,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,141,1.0,
142,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,142,0.0,
143,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,143,1.0,
144,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,144,1.0,
145,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,145,1.0,
146,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,146,1.0,
147,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,147,1.0,
148,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,148,1.0,
149,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,149,0.0,
150,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,150,1.0,
151,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,151,1.0,
152,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,152,1.0,
153,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,153,1.0,
154,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,154,1.0,
155,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,155,0.0,
156,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,156,0.0,
157,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,157,1.0,
158,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,158,1.0,
159,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,159,1.0,
160,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,160,1.0,
161,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,161,0.0,
162,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,162,0.0,
163,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,163,1.0,
164,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,164,1.0,
165,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,165,1.0,
166,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,166,1.0,
167,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,167,0.0,
168,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,168,1.0,
169,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,169,1.0,
170,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,170,1.0,
171,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,171,0.0,
172,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,172,1.0,
173,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,173,1.0,
174,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,174,1.0,
175,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,175,1.0,
176,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,176,1.0,
177,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,177,0.0,
178,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,178,1.0,
179,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,179,1.0,
180,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,180,0.0,
181,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,181,0.0,
182,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,182,1.0,
183,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,183,1.0,
184,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,184,1.0,
185,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,185,1.0,
186,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,186,0.0,
187,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,187,1.0,
188,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,188,1.0,
189,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,189,1.0,
190,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,190,1.0,
191,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,191,1.0,
192,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,192,1.0,
193,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,193,1.0,
194,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,194,1.0,
195,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,195,1.0,
196,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,196,1.0,
197,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,197,1.0,
198,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,198,1.0,
199,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,199,1.0,
200,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,200,1.0,
201,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,201,0.0,
202,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,202,1.0,
203,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,203,0.0,
204,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,204,0.0,
205,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,205,1.0,
206,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,206,0.0,
207,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,207,1.0,
208,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,208,1.0,
209,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,209,0.0,
210,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,210,1.0,
211,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,211,1.0,
212,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,212,1.0,
213,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,213,0.0,
214,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,214,1.0,
